Title,Author,Rating
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,"4.21 avg rating — 282,460 ratings"
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,"4.04 avg rating — 262,836 ratings"
Verity,Colleen Hoover,"4.30 avg rating — 3,578,251 ratings"
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"4.26 avg rating — 553,423 ratings"
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,"3.80 avg rating — 225,194 ratings"
"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,"4.15 avg rating — 204,286 ratings"
"Caraval (Caraval, #1)",Stephanie Garber,"3.97 avg rating — 806,726 ratings"
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,"4.10 avg rating — 197,499 ratings"
"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",Cassandra Clare,"4.55 avg rating — 68,823 ratings"
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,"3.91 avg rating — 383,341 ratings"
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,"4.24 avg rating — 453,451 ratings"
"Chocolat (Chocolat, #1)",Joanne Harris,"3.96 avg rating — 129,929 ratings"
The Art of War,Sun Tzu,"3.95 avg rating — 553,446 ratings"
The Westing Game,Ellen Raskin,"3.99 avg rating — 230,877 ratings"
"Sabriel (Abhorsen, #1)",Garth Nix,"4.17 avg rating — 216,307 ratings"
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"4.34 avg rating — 1,209,904 ratings"
The Summoning (Darkest Powers #1),Kelley Armstrong,"4.03 avg rating — 175,803 ratings"
The Last Lecture,Randy Pausch,"4.26 avg rating — 359,964 ratings"
No Country for Old Men,Cormac McCarthy,"4.17 avg rating — 235,424 ratings"
"Better Than the Movies (Better Than the Movies, #1)",Lynn Painter,"4.26 avg rating — 688,886 ratings"
"Silence (Hush, Hush, #3)",Becca Fitzpatrick,"4.07 avg rating — 293,377 ratings"
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,"4.13 avg rating — 163,399 ratings"
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,"4.01 avg rating — 189,881 ratings"
Just Listen,Sarah Dessen,"4.05 avg rating — 249,909 ratings"
Normal People,Sally Rooney,"3.81 avg rating — 1,774,599 ratings"
"Swann’s Way (In Search of Lost Time, #1)",Marcel Proust,"4.16 avg rating — 66,532 ratings"
"Viciously Yours (Fae Kings of Eden, #1)",Jamie Applegate Hunter,"3.60 avg rating — 41,170 ratings"
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,"3.66 avg rating — 358,576 ratings"
"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,"4.14 avg rating — 147,593 ratings"
Twelfth Night,William Shakespeare,"3.96 avg rating — 192,081 ratings"
"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,"3.94 avg rating — 350,007 ratings"
"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"4.17 avg rating — 795,238 ratings"
Lady Chatterley’s Lover,D.H. Lawrence,"3.50 avg rating — 135,122 ratings"
"Trainspotting (Mark Renton, #2)",Irvine Welsh,"4.11 avg rating — 175,406 ratings"
The Truth About Forever,Sarah Dessen,"4.12 avg rating — 225,751 ratings"
Nine Stories,J.D. Salinger,"4.18 avg rating — 153,209 ratings"
I Capture the Castle,Dodie Smith,"3.99 avg rating — 113,446 ratings"
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"4.11 avg rating — 267,740 ratings"
"Ishmael (Ishmael, #1)",Daniel Quinn,"4.01 avg rating — 102,795 ratings"
"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,"4.12 avg rating — 265,863 ratings"
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,"4.16 avg rating — 119,887 ratings"
"Red Rising (Red Rising Saga, #1)",Pierce Brown,"4.27 avg rating — 672,285 ratings"
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,"4.29 avg rating — 92,772 ratings"
Demian,Hermann Hesse,"4.14 avg rating — 130,431 ratings"
The Hours,Michael Cunningham,"3.96 avg rating — 147,196 ratings"
The Glass Castle,Jeannette Walls,"4.32 avg rating — 1,330,734 ratings"
"You Are Special (Wemmicksville, #1)",Max Lucado,"4.45 avg rating — 53,471 ratings"
The Arabian Nights,Anonymous,"4.03 avg rating — 80,520 ratings"
Taming Flame,Therisa Peimer,"4.29 avg rating — 16,994 ratings"
"Slammed (Slammed, #1)",Colleen Hoover,"4.14 avg rating — 436,613 ratings"
Julius Caesar,William Shakespeare,"3.71 avg rating — 215,871 ratings"
Gray After Dark,Noelle W. Ihli,"4.20 avg rating — 85,697 ratings"
Cyrano de Bergerac,Edmond Rostand,"4.06 avg rating — 89,587 ratings"
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,"4.36 avg rating — 265,384 ratings"
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"4.01 avg rating — 350,598 ratings"
"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,"4.56 avg rating — 61,345 ratings"
Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,"4.29 avg rating — 15,924 ratings"
No One Can Know,Kate Alice Marshall,"3.65 avg rating — 74,860 ratings"
The Glass Menagerie,Tennessee Williams,"3.74 avg rating — 141,388 ratings"
"World Without End (Kingsbridge, #2)",Ken Follett,"4.32 avg rating — 269,976 ratings"
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"4.71 avg rating — 976,731 ratings"
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,"4.26 avg rating — 732,162 ratings"
"1Q84 (1Q84, #1-3)",Haruki Murakami,"3.95 avg rating — 334,038 ratings"
The Holy Bible: King James Version,Anonymous,"4.44 avg rating — 309,969 ratings"
The Club,Ellery Lloyd,"3.28 avg rating — 122,953 ratings"
"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"3.98 avg rating — 202,510 ratings"
"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,"3.93 avg rating — 74,713 ratings"
"The Scorch Trials (The Maze Runner, #2)",James Dashner,"3.89 avg rating — 629,793 ratings"
"Hunted (House of Night, #5)",P.C. Cast,"3.93 avg rating — 189,762 ratings"
Ask for Andrea,Noelle W. Ihli,"4.08 avg rating — 173,886 ratings"
"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,"4.36 avg rating — 138,618 ratings"
We Need to Talk About Kevin,Lionel Shriver,"4.08 avg rating — 207,850 ratings"
"Carry On (Simon Snow, #1)",Rainbow Rowell,"4.16 avg rating — 330,259 ratings"
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,"4.04 avg rating — 1,026,132 ratings"
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,"3.95 avg rating — 323,637 ratings"
Head Like a Hole,Andrew Van Wey,"3.85 avg rating — 5,778 ratings"
Interpreter of Maladies,Jhumpa Lahiri,"4.18 avg rating — 203,521 ratings"
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"4.16 avg rating — 304,169 ratings"
The Roommate,Kiersten Modglin,"3.78 avg rating — 12,443 ratings"
"Think Twice (Myron Bolitar, #12)",Harlan Coben,"4.24 avg rating — 44,879 ratings"
The Merchant of Venice,William Shakespeare,"3.78 avg rating — 199,700 ratings"
"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,"4.01 avg rating — 170,073 ratings"
"Inferno (Robert Langdon, #4)",Dan    Brown,"3.90 avg rating — 582,441 ratings"
"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,"3.70 avg rating — 165,921 ratings"
Before I Fall,Lauren Oliver,"3.88 avg rating — 344,612 ratings"
"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,"4.04 avg rating — 394,230 ratings"
Look Closer,David Ellis,"4.17 avg rating — 128,713 ratings"
"Being a Witch, and Other Things I Didn't Ask For",Sara Pascoe,"4.28 avg rating — 26,107 ratings"
"The Secret (The Secret, #1)",Rhonda Byrne,"3.74 avg rating — 521,800 ratings"
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,"3.98 avg rating — 474,355 ratings"
A Brief History of Time,Stephen Hawking,"4.21 avg rating — 468,691 ratings"
"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,"4.43 avg rating — 380,122 ratings"
The Bluest Eye,Toni Morrison,"4.13 avg rating — 289,858 ratings"
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,"3.92 avg rating — 159,790 ratings"
"Not Forever, But For Now",Chuck Palahniuk,"3.05 avg rating — 4,799 ratings"
"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,"4.34 avg rating — 229,958 ratings"
Gravity’s Rainbow,Thomas Pynchon,"4.01 avg rating — 47,081 ratings"
All the King's Men,Robert Penn Warren,"4.09 avg rating — 65,871 ratings"
The Girl Who Was Taken,Charlie Donlea,"4.18 avg rating — 155,611 ratings"
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,"3.98 avg rating — 122,768 ratings"
Invisible Monsters,Chuck Palahniuk,"really liked it4.00 avg rating — 149,672 ratings"
Educated,Tara Westover,"4.47 avg rating — 1,784,645 ratings"
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,"3.88 avg rating — 136,257 ratings"
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,"4.32 avg rating — 200,682 ratings"
Because of Winn-Dixie,Kate DiCamillo,"4.10 avg rating — 274,836 ratings"
House of Leaves,Mark Z. Danielewski,"4.09 avg rating — 192,640 ratings"
"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,"4.19 avg rating — 531,082 ratings"
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"4.37 avg rating — 881,969 ratings"
Seabiscuit: An American Legend,Laura Hillenbrand,"4.23 avg rating — 167,342 ratings"
"Poison Study (Study, #1)",Maria V. Snyder,"4.09 avg rating — 174,393 ratings"
Foucault’s Pendulum,Umberto Eco,"3.91 avg rating — 73,877 ratings"
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,"3.89 avg rating — 271,540 ratings"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"4.16 avg rating — 3,924,430 ratings"
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"4.05 avg rating — 439,450 ratings"
The Ocean at the End of the Lane,Neil Gaiman,"4.02 avg rating — 651,416 ratings"
Project Hail Mary,Andy Weir,"4.50 avg rating — 906,073 ratings"
The Memory Keeper's Daughter,Kim Edwards,"3.70 avg rating — 609,672 ratings"
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"4.19 avg rating — 381,369 ratings"
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"4.11 avg rating — 983,279 ratings"
Mythology,Edith Hamilton,"4.03 avg rating — 59,092 ratings"
Peace Like a River,Leif Enger,"4.03 avg rating — 99,534 ratings"
"Where She Went (If I Stay, #2)",Gayle Forman,"3.97 avg rating — 303,640 ratings"
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"4.45 avg rating — 1,034,175 ratings"
The Night Before Christmas,Clement Clarke Moore,"4.40 avg rating — 126,632 ratings"
Starship Troopers,Robert A. Heinlein,"4.01 avg rating — 242,419 ratings"
A People’s History of the United States: 1492 - Present,Howard Zinn,"4.08 avg rating — 260,573 ratings"
The Shards,Bret Easton Ellis,"really liked it4.00 avg rating — 39,391 ratings"
The Iliad,Homer,"3.93 avg rating — 496,788 ratings"
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,"3.98 avg rating — 288,641 ratings"
"The Talisman (The Talisman, #1)",Stephen        King,"4.11 avg rating — 138,816 ratings"
The History of Love,Nicole Krauss,"3.92 avg rating — 139,464 ratings"
"Oedipus Rex  (The Theban Plays, #1)",Sophocles,"3.72 avg rating — 232,609 ratings"
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,"4.13 avg rating — 463,168 ratings"
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"really liked it4.00 avg rating — 282,687 ratings"
Native Son,Richard Wright,"4.04 avg rating — 103,519 ratings"
Grimm's Fairy Tales,Jacob Grimm,"4.23 avg rating — 219,476 ratings"
"The Fiery Cross (Outlander, #5)",Diana Gabaldon,"4.26 avg rating — 223,620 ratings"
The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,"4.07 avg rating — 340,833 ratings"
"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,"4.33 avg rating — 90,686 ratings"
"Gone (Gone, #1)",Michael  Grant,"3.87 avg rating — 208,749 ratings"
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"4.05 avg rating — 574,121 ratings"
"Champion (Legend, #3)",Marie Lu,"4.31 avg rating — 230,570 ratings"
"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,"4.44 avg rating — 188,853 ratings"
I Am Legend and Other Stories,Richard Matheson,"really liked it4.00 avg rating — 135,284 ratings"
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"4.56 avg rating — 552,592 ratings"
"Left Behind (Left Behind, #1)",Tim LaHaye,"3.86 avg rating — 244,346 ratings"
If We Were Villains,M.L. Rio,"4.11 avg rating — 379,790 ratings"
Watchers,Dean Koontz,"4.19 avg rating — 170,343 ratings"
"Corrupt (Devil's Night, #1)",Penelope Douglas,"3.79 avg rating — 399,880 ratings"
Archer's Voice,Mia Sheridan,"4.17 avg rating — 644,815 ratings"
If on a Winter’s Night a Traveler,Italo Calvino,"4.02 avg rating — 108,728 ratings"
"Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett,"4.50 avg rating — 116,910 ratings"
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"4.16 avg rating — 217,387 ratings"
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"3.91 avg rating — 1,021,042 ratings"
"Shadowfever (Fever, #5)",Karen Marie Moning,"4.39 avg rating — 112,152 ratings"
Murder on Family Grounds (Mary Wandwalker #3),Susan  Rowland,"4.30 avg rating — 17,144 ratings"
"Darkfever (Fever, #1)",Karen Marie Moning,"4.05 avg rating — 188,569 ratings"
"Storm Front (The Dresden Files, #1)",Jim  Butcher,"3.97 avg rating — 371,998 ratings"
"Magical Midlife Awakening (Leveling Up, #9)",K.F. Breene,"4.62 avg rating — 10,885 ratings"
The Magus,John Fowles,"4.05 avg rating — 62,545 ratings"
The Midnight Library,Matt Haig,"3.98 avg rating — 2,304,746 ratings"
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"4.26 avg rating — 330,175 ratings"
"Consequences (Consequences, #1)",Aleatha Romig,"3.92 avg rating — 43,158 ratings"
The Wasp Factory,Iain Banks,"3.76 avg rating — 105,354 ratings"
John Adams,David McCullough,"4.08 avg rating — 373,867 ratings"
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,"4.27 avg rating — 135,651 ratings"
"Pretties (Uglies, #2)",Scott Westerfeld,"3.83 avg rating — 277,496 ratings"
"The Death Cure (The Maze Runner, #3)",James Dashner,"3.78 avg rating — 489,758 ratings"
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,"4.04 avg rating — 92,219 ratings"
Possession,A.S. Byatt,"3.90 avg rating — 83,310 ratings"
"Truth (Consequences, #2)",Aleatha Romig,"4.34 avg rating — 32,549 ratings"
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,"4.32 avg rating — 393,270 ratings"
"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,"4.12 avg rating — 295,896 ratings"
Papillon,Henri Charrière,"4.23 avg rating — 74,360 ratings"
Cosmos,Carl Sagan,"4.40 avg rating — 156,098 ratings"
House of Sand and Fog,Andre Dubus III,"3.86 avg rating — 135,539 ratings"
The Sirens of Titan,Kurt Vonnegut Jr.,"4.15 avg rating — 154,282 ratings"
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,"3.85 avg rating — 728,814 ratings"
Under the Dome,Stephen        King,"3.93 avg rating — 318,749 ratings"
The Blind Assassin,Margaret Atwood,"3.96 avg rating — 161,561 ratings"
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,"3.99 avg rating — 274,851 ratings"
The Agony and the Ecstasy,Irving Stone,"4.09 avg rating — 94,032 ratings"
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,"4.31 avg rating — 139,949 ratings"
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,"4.26 avg rating — 100,028 ratings"
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"4.24 avg rating — 89,878 ratings"
On Writing: A Memoir of the Craft,Stephen        King,"4.34 avg rating — 311,242 ratings"
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"4.01 avg rating — 887,461 ratings"
The Drowning Woman,Robyn Harding,"4.04 avg rating — 147,856 ratings"
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,"4.08 avg rating — 32,694 ratings"
Veronika Decides to Die,Paulo Coelho,"3.73 avg rating — 237,913 ratings"
How to Win Friends & Influence People,Dale Carnegie,"4.22 avg rating — 1,115,849 ratings"
A Heartbreaking Work of Staggering Genius,Dave Eggers,"3.69 avg rating — 182,863 ratings"
The Elegance of the Hedgehog,Muriel Barbery,"3.80 avg rating — 196,441 ratings"
Corelli’s Mandolin,Louis de Bernières,"4.03 avg rating — 91,819 ratings"
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,"4.49 avg rating — 426,860 ratings"
"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,"4.04 avg rating — 55,678 ratings"
The Witch of Blackbird Pond,Elizabeth George Speare,"4.03 avg rating — 158,261 ratings"
"Prodigy (Legend, #2)",Marie Lu,"4.22 avg rating — 277,990 ratings"
Something Wicked This Way Comes,Ray Bradbury,"3.90 avg rating — 146,521 ratings"
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,"3.84 avg rating — 192,699 ratings"
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"4.06 avg rating — 587,991 ratings"
Prodigal Summer,Barbara Kingsolver,"4.05 avg rating — 124,441 ratings"
"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,"4.06 avg rating — 179,784 ratings"
The Polymorph,Max Nowaz,"4.28 avg rating — 15,068 ratings"
"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,"3.99 avg rating — 42,107 ratings"
The Aeneid,Virgil,"3.87 avg rating — 139,558 ratings"
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"3.99 avg rating — 115,954 ratings"
Song of Solomon,Toni Morrison,"4.15 avg rating — 124,451 ratings"
Digital Fortress,Dan    Brown,"3.70 avg rating — 658,663 ratings"
"Love Story (Love Story, #1)",Erich Segal,"3.65 avg rating — 63,564 ratings"
"Keeper of the Lost Cities (Keeper of the Lost Cities, #1)",Shannon Messenger,"4.40 avg rating — 103,838 ratings"
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,"3.81 avg rating — 4,045 ratings"
Around the World in Eighty Days,Jules Verne,"3.95 avg rating — 276,100 ratings"
Battle Royale,Koushun Takami,"4.26 avg rating — 83,468 ratings"
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,"3.81 avg rating — 273,543 ratings"
Holy Bible: New International Version,Anonymous,"4.63 avg rating — 94,763 ratings"
"Inara (Godfrey Davis, #3)",A.R. Merrydew,"4.35 avg rating — 6,252 ratings"
Anthem,Ayn Rand,"3.61 avg rating — 164,613 ratings"
Jitterbug Perfume,Tom Robbins,"4.23 avg rating — 79,873 ratings"
"Tempted (House of Night, #6)",P.C. Cast,"3.95 avg rating — 172,967 ratings"
Ivanhoe,Walter Scott,"3.76 avg rating — 98,101 ratings"
"The High Auction (Wisdom Revolution, #1)",Misba,"4.69 avg rating — 16,539 ratings"
"A Dead and Stormy Night (Nevermore Bookshop Mysteries, #1)",Steffanie Holmes,"3.91 avg rating — 12,623 ratings"
Meditations,Marcus Aurelius,"4.28 avg rating — 324,316 ratings"
Howl and Other Poems,Allen Ginsberg,"4.13 avg rating — 117,651 ratings"
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,"4.18 avg rating — 212,899 ratings"
"The Oldest Dance (Wisdom Revolution, #2)",Misba,"4.70 avg rating — 13,550 ratings"
Ficciones,Jorge Luis Borges,"4.40 avg rating — 76,355 ratings"
"Souls Unfractured (Hades Hangmen, #3)",Tillie Cole,"4.41 avg rating — 28,070 ratings"
"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,"4.14 avg rating — 168,163 ratings"
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"3.99 avg rating — 414,778 ratings"
"The Lies of Vampires and Slayers (Magic on Main Street, #1)",K.M. Shea,"4.36 avg rating — 8,481 ratings"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"4.47 avg rating — 2,516,963 ratings"
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,"3.71 avg rating — 797,288 ratings"
"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"4.32 avg rating — 178,242 ratings"
The Story of My Life,Helen Keller,"4.08 avg rating — 150,306 ratings"
"Princess Academy (Princess Academy, #1)",Shannon Hale,"4.04 avg rating — 121,046 ratings"
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"4.04 avg rating — 417,715 ratings"
Mistress Suffragette,Diana   Forbes,"4.29 avg rating — 4,573 ratings"
The Magic Mountain,Thomas Mann,"4.13 avg rating — 57,011 ratings"
A Winter Grave,Peter  May,"4.06 avg rating — 9,185 ratings"
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"3.94 avg rating — 165,787 ratings"
Message in a Bottle,Nicholas Sparks,"3.98 avg rating — 246,117 ratings"
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,"4.24 avg rating — 336,053 ratings"
"Antigone (The Theban Plays, #3)",Sophocles,"3.68 avg rating — 171,119 ratings"
The Invention of Hugo Cabret,Brian Selznick,"4.22 avg rating — 188,395 ratings"
The Very Secret Society of Irregular Witches,Sangu Mandanna,"4.05 avg rating — 315,224 ratings"
"The Girl in the Eagle's Talons (Millennium, #7)",Karin Smirnoff,"3.42 avg rating — 18,393 ratings"
"Fablehaven (Fablehaven, #1)",Brandon Mull,"4.14 avg rating — 175,410 ratings"
Stoner,John  Williams,"4.35 avg rating — 224,897 ratings"
One Day,David Nicholls,"3.87 avg rating — 401,289 ratings"
"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,"4.02 avg rating — 243,603 ratings"
Walk Two Moons,Sharon Creech,"really liked it4.00 avg rating — 172,385 ratings"
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"4.21 avg rating — 1,058,574 ratings"
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,"3.96 avg rating — 261,215 ratings"
Orlando,Virginia Woolf,"3.87 avg rating — 110,342 ratings"
The Power of Myth,Joseph Campbell,"4.26 avg rating — 53,200 ratings"
Keep It in the Family,John Marrs,"4.07 avg rating — 209,022 ratings"
The Shell Seekers,Rosamunde Pilcher,"4.20 avg rating — 118,643 ratings"
It's Kind of a Funny Story,Ned Vizzini,"4.07 avg rating — 260,434 ratings"
This Is How You Lose the Time War,Amal El-Mohtar,"3.85 avg rating — 312,447 ratings"
"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,"3.92 avg rating — 103,103 ratings"
Angle of Repose,Wallace Stegner,"4.24 avg rating — 61,398 ratings"
The Marriage Portrait,Maggie O'Farrell,"4.01 avg rating — 188,964 ratings"
The Jungle Books,Rudyard Kipling,"4.01 avg rating — 88,725 ratings"
The Corrections,Jonathan Franzen,"3.84 avg rating — 194,842 ratings"
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"4.11 avg rating — 148,999 ratings"
"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,"4.28 avg rating — 143,040 ratings"
"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,"3.95 avg rating — 812,734 ratings"
"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski,"4.22 avg rating — 149,832 ratings"
Cryptonomicon,Neal Stephenson,"4.23 avg rating — 115,855 ratings"
"Heretical Fishing (Heretical Fishing, #1)",Haylock Jobson,"4.27 avg rating — 7,127 ratings"
An Abundance of Katherines,John Green,"3.51 avg rating — 546,023 ratings"
Geek Love,Katherine Dunn,"3.95 avg rating — 71,604 ratings"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"4.16 avg rating — 804,484 ratings"
Still Alice,Lisa Genova,"4.32 avg rating — 356,666 ratings"
The Namesake,Jhumpa Lahiri,"4.02 avg rating — 280,680 ratings"
"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,"4.36 avg rating — 119,446 ratings"
Jude the Obscure,Thomas Hardy,"3.83 avg rating — 74,993 ratings"
"Mary Poppins (Mary Poppins, #1)",P.L. Travers,"4.01 avg rating — 139,290 ratings"
"The Passage (The Passage, #1)",Justin Cronin,"4.05 avg rating — 220,722 ratings"
I Am the Messenger,Markus Zusak,"4.03 avg rating — 167,973 ratings"
"Small Gods (Discworld, #13)",Terry Pratchett,"4.32 avg rating — 130,887 ratings"
Twenty Years Later,Charlie Donlea,"4.19 avg rating — 162,443 ratings"
The White Tiger,Aravind Adiga,"3.77 avg rating — 200,468 ratings"
"Into the Wild (Warriors, #1)",Erin Hunter,"4.32 avg rating — 117,356 ratings"
The Moon Is a Harsh Mistress,Robert A. Heinlein,"4.15 avg rating — 137,172 ratings"
Living Fearless: Exchanging the Lies of the World for the Liberating Truth of God,Jamie Winship,"4.43 avg rating — 3,332 ratings"
Babel,R.F. Kuang,"4.16 avg rating — 407,985 ratings"
"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"4.20 avg rating — 310,582 ratings"
"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"4.24 avg rating — 266,331 ratings"
Dandelion Wine,Ray Bradbury,"4.09 avg rating — 76,690 ratings"
Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,"4.13 avg rating — 1,940 ratings"
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"4.38 avg rating — 611,848 ratings"
My Name Is Asher Lev,Chaim Potok,"4.24 avg rating — 42,992 ratings"
"Fire (Graceling Realm, #2)",Kristin Cashore,"4.09 avg rating — 192,709 ratings"
"Winter (The Lunar Chronicles, #4)",Marissa Meyer,"4.41 avg rating — 305,319 ratings"
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"4.19 avg rating — 209,119 ratings"
Choke,Chuck Palahniuk,"3.71 avg rating — 218,856 ratings"
Between Shades of Gray,Ruta Sepetys,"4.37 avg rating — 269,582 ratings"
The Portrait of a Lady,Henry James,"3.80 avg rating — 84,208 ratings"
The Forgotten Garden,Kate Morton,"4.15 avg rating — 234,884 ratings"
Wild Swans: Three Daughters of China,Jung Chang,"4.30 avg rating — 120,731 ratings"
Howards End,E.M. Forster,"3.96 avg rating — 93,648 ratings"
"Finale (Hush, Hush, #4)",Becca Fitzpatrick,"4.11 avg rating — 184,982 ratings"
"Worm Holes (Quantum Roots, #2)",Kyle Keyes,"4.34 avg rating — 2,105 ratings"
