Title,Author,Rating
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 652,073 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.91 avg rating — 298,268 ratings"
And Then There Were None,Agatha Christie,"4.28 avg rating — 1,553,543 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.81 avg rating — 1,272,106 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.11 avg rating — 781,948 ratings"
The Complete Stories and Poems,Edgar Allan Poe,"4.40 avg rating — 292,091 ratings"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"4.02 avg rating — 635,714 ratings"
Atlas Shrugged,Ayn Rand,"3.69 avg rating — 403,410 ratings"
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,"4.38 avg rating — 390,620 ratings"
"The Notebook (The Notebook, #1)",Nicholas Sparks,"4.16 avg rating — 1,813,939 ratings"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"4.58 avg rating — 3,576,645 ratings"
The Elephant Tree,R.D. Ronald,"3.86 avg rating — 36,513 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,734,927 ratings"
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 11,109,578 ratings"
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,"4.26 avg rating — 972,030 ratings"
"The Shining (The Shining, #1)",Stephen        King,"4.28 avg rating — 1,656,780 ratings"
"Moby-Dick or, The Whale",Herman Melville,"3.56 avg rating — 604,599 ratings"
The Zombie Room,R.D. Ronald,"3.89 avg rating — 36,862 ratings"
A Prayer for Owen Meany,John Irving,"4.24 avg rating — 333,045 ratings"
The Stranger,Albert Camus,"4.03 avg rating — 1,327,193 ratings"
Gone Girl,Gillian Flynn,"4.14 avg rating — 3,370,501 ratings"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"4.31 avg rating — 868,004 ratings"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"4.43 avg rating — 4,367,993 ratings"
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"4.29 avg rating — 4,360,764 ratings"
A Story of Yesterday,Sergio Cobo,"4.53 avg rating — 16,973 ratings"
It,Stephen        King,"4.24 avg rating — 1,232,321 ratings"
The Secret Life of Bees,Sue Monk Kidd,"4.10 avg rating — 1,339,776 ratings"
The Metamorphosis,Franz Kafka,"3.90 avg rating — 1,350,540 ratings"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"4.52 avg rating — 1,055,427 ratings"
The Red Tent,Anita Diamant,"4.20 avg rating — 625,110 ratings"
The Master and Margarita,Mikhail Bulgakov,"4.28 avg rating — 403,927 ratings"
The Count of Monte Cristo,Alexandre Dumas,"4.32 avg rating — 996,417 ratings"
Eragon (The Inheritance Cycle #1),Christopher Paolini,"3.96 avg rating — 1,906,889 ratings"
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"4.55 avg rating — 1,119,727 ratings"
The Very Hungry Caterpillar,Eric Carle,"4.34 avg rating — 539,337 ratings"
Looking for Alaska,John Green,"3.96 avg rating — 1,720,737 ratings"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"4.24 avg rating — 3,072,142 ratings"
Middlesex,Jeffrey Eugenides,"4.04 avg rating — 658,086 ratings"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"4.17 avg rating — 914,702 ratings"
The Adventures of Tom Sawyer,Mark Twain,"3.92 avg rating — 999,943 ratings"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"4.30 avg rating — 700,186 ratings"
The Girl on the Train,Paula Hawkins,"3.96 avg rating — 3,214,970 ratings"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"3.89 avg rating — 1,573,281 ratings"
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"4.20 avg rating — 1,160,967 ratings"
Mystic River,Dennis Lehane,"4.17 avg rating — 160,343 ratings"
Dark Places,Gillian Flynn,"3.94 avg rating — 819,672 ratings"
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,"4.07 avg rating — 364,913 ratings"
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"4.46 avg rating — 1,110,866 ratings"
The Unbearable Lightness of Being,Milan Kundera,"4.11 avg rating — 527,527 ratings"
"Holes (Holes, #1)",Louis Sachar,"4.01 avg rating — 1,338,174 ratings"
Before I Go to Sleep,S.J. Watson,"3.90 avg rating — 361,854 ratings"
Never Lie,Freida McFadden,"4.08 avg rating — 1,270,323 ratings"
The Name of the Rose,Umberto Eco,"4.14 avg rating — 388,533 ratings"
Shutter Island,Dennis Lehane,"4.13 avg rating — 217,254 ratings"
None of This Is True,Lisa Jewell,"4.08 avg rating — 1,002,290 ratings"
Big Little Lies,Liane Moriarty,"4.31 avg rating — 1,093,708 ratings"
On the Road,Jack Kerouac,"3.61 avg rating — 440,103 ratings"
Where the Red Fern Grows,Wilson Rawls,"4.12 avg rating — 434,268 ratings"
Perfume: The Story of a Murderer,Patrick Süskind,"4.04 avg rating — 533,368 ratings"
Lock Every Door,Riley Sager,"3.89 avg rating — 281,554 ratings"
The Paris Apartment,Lucy Foley,"3.65 avg rating — 682,950 ratings"
"The Godfather (The Godfather, #1)",Mario Puzo,"4.40 avg rating — 454,466 ratings"
The Woman in the Window,A.J. Finn,"3.94 avg rating — 866,084 ratings"
1984,George Orwell,"4.20 avg rating — 5,259,128 ratings"
In Cold Blood,Truman Capote,"4.09 avg rating — 712,872 ratings"
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"3.96 avg rating — 534,983 ratings"
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"4.19 avg rating — 1,345,327 ratings"
"You (You, #1)",Caroline Kepnes,"3.96 avg rating — 283,504 ratings"
The Scarlet Letter,Nathaniel Hawthorne,"3.44 avg rating — 903,451 ratings"
Fight Club,Chuck Palahniuk,"4.18 avg rating — 631,180 ratings"
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,"3.73 avg rating — 721,573 ratings"
American Gods,Neil Gaiman,"4.10 avg rating — 980,692 ratings"
Pretty Girls,Karin Slaughter,"4.01 avg rating — 642,313 ratings"
The Five People You Meet in Heaven,Mitch Albom,"4.01 avg rating — 784,788 ratings"
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,"4.20 avg rating — 191,993 ratings"
Behind Closed Doors,B.A. Paris,"3.97 avg rating — 725,594 ratings"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"4.35 avg rating — 4,034,344 ratings"
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"4.08 avg rating — 167,837 ratings"
Watchmen,Alan             Moore,"4.39 avg rating — 587,308 ratings"
No Exit,Taylor  Adams,"3.99 avg rating — 205,784 ratings"
All Quiet on the Western Front,Erich Maria Remarque,"4.10 avg rating — 507,224 ratings"
Home Before Dark,Riley Sager,"4.05 avg rating — 281,540 ratings"
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,"3.83 avg rating — 1,108,201 ratings"
The Couple Next Door,Shari Lapena,"3.80 avg rating — 687,256 ratings"
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,"4.19 avg rating — 576,778 ratings"
The Song of Achilles,Madeline Miller,"4.31 avg rating — 1,880,962 ratings"
